StationID,Seasons,Temp,pH,Cond,TDS,Dissolved_Oxygen,Na,K,Mg,Ca,F,Cl,NO3,SO4,HCO3,Si
M01,Dry,26.2,7.44,507,325,7,38.82,7.65,8.07,46.92,0.19,45.62,2.73,15.6,200.39,7.78
M02,Dry,28.2,7.54,348,213,5.14,39.52,10.6,5.29,10.93,0.15,49.86,4.07,13.04,80.52,10.51
M03,Dry,29.8,7.82,2452,1456,8.17,369.6,6.9,16.18,62.5,0.15,668.55,0,6.48,174.77,13.47
M04,Dry,26.5,7.5,252,159,6.2,26.81,8.23,4.49,10.4,0.14,35.29,3.81,13.89,53.07,12.23
M05,Dry,28.4,7.66,980,598,7.38,134.8,14.05,11.6,29.99,0.21,215.67,0,18.34,146.4,8.02
M06,Dry,26.8,7.7,300,189,6.6,26.29,5.12,7.55,22.05,0.35,27.61,0,4.6,120.78,11.25
M07,Dry,28.1,7.4,313,192,5.17,26.6,5.21,5.5,18.64,0.21,56.37,0.36,2.16,63.14,11.94
M08,Dry,28.3,7.63,951,579,6.5,141.2,6.07,7.88,27.64,0.28,235.12,1.11,17.54,92.42,11.92
M09,Dry,26.9,7.47,995,624,5.96,161.5,4.02,6.19,23.78,0.22,270.44,0.68,13.68,72.29,12.43
M10,Dry,26.2,7.23,278,174,6.34,21.51,2.57,3.23,25.58,0.15,67.99,0.21,3.23,22.88,4.87
M11,Dry,25.5,6.62,216,139,6.36,36.09,1.74,1.47,1.29,0.15,58.03,0.21,2.19,7.32,4.59
M12,Dry,31.2,6.68,78,46,7.68,6.68,1.53,0.84,3.06,0.12,10.94,0,1.08,16.47,7.81
M13,Dry,30.1,6.98,291,172,7.6,37.13,3.52,2.17,8.29,0.12,54.41,8.01,5.64,33.86,7.29
M14,Dry,29.3,7.57,250,150,6.2,21.92,3.46,3.65,17.48,0.17,27.45,0,5.97,73.2,8.49
M15,Dry,28.4,7.22,187,114,4.14,8.37,6.75,3.21,9.94,0.07,18.27,1.39,3.5,56.73,12.59
M16,Dry,29.4,6.92,115,69,3.95,6.35,6.31,1.75,7.95,0.08,9.87,0,1.21,39.35,7.93
M17,Dry,27.7,7.59,264,163,7.62,9.05,2.45,8.84,26.93,0.08,15.97,1.01,17.76,96.62,9.98
M18,Dry,28.7,7.67,211,128,6.45,31.58,1.32,2.21,3.75,0.07,48.71,0.21,1.87,19.22,7.49
M19,Dry,30.6,7.1,354,208,7.1,50.74,1.48,3,8.49,0.1,73.42,0,5.42,37.52,12.67
M01,Wet,29.3,7.67,497,249,4.6,42.05,8.48,8.25,46.17,0.2,45.58,0.53,28.36,184.03,9.35
M02,Wet,29.1,7.4,269,135,5.11,27.82,8.06,5.82,13.96,0.16,28.28,2.71,12.28,87.06,13.15
M03,Wet,31.1,7.55,1996,998,4.7,326.23,4.07,13.99,62.4,0.31,603.01,0,9.76,120.33,13.2
M04,Wet,30.1,7.61,272,136,5.76,29.6,9.86,5.54,11.97,0.15,32.5,2.47,9.22,84.94,12.98
M05,Wet,30.4,7.38,665,332,3.5,89.06,10.1,8.12,28.35,0.23,132.15,2.63,18.09,116.79,13.94
M06,Wet,29.7,7.21,169,85,4,13.65,4.09,3.94,13.05,0.18,13.75,0.73,6.25,67.12,10.16
M07,Wet,30.9,7.06,94,47,5.73,8.69,2.47,1.81,5.65,0.19,9.81,0.69,4.03,31.14,7.6
M08,Wet,30.4,6.9,324,162,3.59,46.5,2.45,2.52,10.31,0.13,75.43,0.34,6.17,33.97,6.5
M09,Wet,29.7,6.8,193,97,3.91,25.7,2.41,1.62,6.2,0.14,40.45,0.45,4.14,26.19,6.14
M10,Wet,20.3,6.67,65,33,4.24,6.26,1.61,0.86,3.98,0.15,6.73,2.02,3.02,19.11,5.76
M11,Wet,30,6.47,126,63,2.97,17.81,2,0.85,3.19,0.11,27.63,0.31,3.44,14.16,3.39
M12,Wet,29,6.48,42,21,4.99,3.93,1.44,0.5,2.35,0.36,5.62,0.54,1.3,10.62,4.17
M13,Wet,27.9,6.36,40,20,4.74,3.68,1.68,0.53,1.93,0.16,5.58,0.3,1.35,8.14,3.87
M14,Wet,28.8,7.3,177,88,4.83,19.39,3.07,2.24,10.12,0.37,27.45,0,4.04,42.47,7.06
M15,Wet,27.7,6.44,36,18,5.01,2.86,1.57,0.66,1.78,0.07,4.92,0.48,1.79,9.15,5.34
M16,Wet,27.3,6.51,31,16,4.94,2.12,1.57,0.51,2.04,0.18,3.77,0.75,1.84,5.49,3.96
M17,Wet,27.1,7.36,100,50,5.89,3.74,1.39,2.38,11.62,0.12,5.46,0,3.35,42.47,7.16
M18,Wet,26.7,6.52,50,25,5.05,6.03,1.11,0.64,1.81,0.09,8.26,0,1.59,10.62,3.32
M19,Wet,27.5,6.54,56,28,4.53,6.47,1.37,0.69,2.58,0.63,8.7,0,1.36,10.62,3.76
