StationID,Seasons,Temp,Cond,pH,Flowrate,Dissolved_Oxygen,Na,K,Ca,Mg,Cl,HCO3,NO3,SO4,Si,TDS,Alk
M01,Dry,26,507,7.4,0.9223,7,38.82,7.65,46.92,8.07,45.62,200.39,2.73,15.6,7.78,381.55,164.36
M02,Dry,28.1,348,7.6,0.3968,5.1,39.52,10.6,10.93,5.29,49.86,80.52,4.07,13.04,10.51,235,66.04
M03,Dry,29.9,2449,7.8,0.0373,8.2,369.6,6.9,62.5,16.18,668.55,174.77,0,6.48,13.47,1332.07,143.34
M04,Dry,26.6,252,7.5,0.0037,6.2,26.81,8.23,10.4,4.49,35.29,53.07,3.81,13.89,12.23,180.59,43.53
M05,Dry,28.4,979,7.7,0.0373,7.5,134.8,14.05,29.99,11.6,215.67,146.4,0,18.34,8.02,587.1,120.07
M06,Dry,26.8,300,7.7,0.0373,6.6,26.29,5.12,22.05,7.55,27.61,120.78,0,4.6,11.25,236.85,99.06
M07,Dry,28,313,7.4,0.224,5.2,26.6,5.21,18.64,5.5,56.37,63.14,0.36,2.16,11.94,202.07,51.79
M08,Dry,28.3,950,7.6,9.2113,6.5,141.2,6.07,27.64,7.88,235.12,92.42,1.11,17.54,11.92,784.09,68.3
M09,Dry,26.9,994,7.6,11.4092,6,161.5,4.02,23.78,6.19,270.44,72.29,0.68,13.68,12.43,577.66,59.29
M10,Dry,26.2,279,7.2,0.0373,6.3,21.51,2.57,25.58,3.23,67.99,22.88,0.21,3.23,4.87,157.09,18.77
M11,Dry,25.6,217,7,0.0037,6.3,36.09,1.74,1.29,1.47,58.03,7.32,0.21,2.19,4.59,117.67,6
M12,Dry,31.8,78,6.7,3.2387,7.7,6.68,1.53,3.06,0.84,10.94,16.47,0,1.08,7.81,56.34,13.51
M13,Dry,30.4,291,7,47.071,7.5,37.13,3.52,8.29,2.17,54.41,33.86,8.01,5.64,7.29,167.73,27.77
M14,Dry,28.9,250,7.8,88.4194,6.2,21.92,3.46,17.48,3.65,27.45,73.2,0,5.97,8.49,170.28,60.04
M15,Dry,28.4,169,7.2,4.2742,4.1,8.37,6.75,9.94,3.21,18.27,56.73,1.39,3.5,12.59,133.41,46.53
M16,Dry,29.4,115,7.7,2.9523,4,6.35,6.31,7.95,1.75,9.87,39.35,0,1.21,7.93,88.73,32.27
M17,Dry,27.8,264,7.7,101.419,7.6,9.05,2.45,26.93,8.84,15.97,96.62,1.01,17.76,9.98,198.67,79.25
M18,Dry,28.3,211,7.7,0.6961,6.5,31.58,1.32,3.75,2.21,48.71,19.22,0.21,1.87,7.49,123.92,15.76
M19,Dry,30.5,354,7.1,0.7467,7.1,50.74,1.48,8.49,3,73.42,37.52,0,5.42,12.67,205.51,30.77
M01,Wet,31,560,7.7,1.6,4.6,42.05,8.48,46.17,8.25,45.58,184.03,0.53,28.36,9.35,382.35,150.94
M02,Wet,30,300,7.4,4.3,5.1,27.82,8.06,13.96,5.82,28.28,87.06,2.71,12.28,13.15,212.45,71.4
M03,Wet,32,2357,7.6,4.2,4.7,326.23,4.07,62.4,13.99,603.01,120.33,0,9.76,13.2,1166.5,98.69
M04,Wet,30,306,7.6,17.1,5.8,29.6,9.86,11.97,5.54,32.5,84.94,2.47,9.22,12.98,212.21,69.67
M05,Wet,32,766,7.4,24.6,3.5,89.06,10.1,28.35,8.12,132.15,116.79,2.63,18.09,13.94,433.4,95.79
M06,Wet,28,189,7.2,6.7,4,13.65,4.09,13.05,3.94,13.75,67.12,0.73,6.25,10.16,143.08,55.05
M07,Wet,33,105,7.1,35.3,5.7,8.69,2.47,5.65,1.81,9.81,31.14,0.69,4.03,7.6,79.68,25.54
M08,Wet,33,371,6.9,377,3.6,46.5,2.45,10.31,2.52,75.43,33.97,0.34,6.17,6.5,115.33,20.32
M09,Wet,28,216,6.8,471.7,3.9,25.7,2.41,6.2,1.62,40.45,26.19,0.45,4.14,6.14,119.58,21.48
M10,Wet,30,72,6.7,66.8,4.2,6.26,1.61,3.98,0.86,6.73,19.11,2.02,3.02,5.76,55.26,15.67
M11,Wet,26,140,6.5,82.9,3,17.81,2,3.19,0.85,27.63,14.16,0.31,3.44,3.39,76.28,11.61
M12,Wet,29,45,6.5,44.6,5,3.93,1.44,2.35,0.5,5.62,10.62,0.54,1.3,4.17,35,8.71
M13,Wet,29,42,6.4,55.2,4.7,3.68,1.68,1.93,0.53,5.58,8.14,0.3,1.35,3.87,31.09,6.68
M14,Wet,25,195,7.3,0,4.8,19.39,3.07,10.12,2.24,27.45,42.47,0,4.04,7.06,123.27,34.83
M15,Wet,28,39,6.4,128.8,5,2.86,1.57,1.78,0.66,4.92,9.15,0.48,1.79,5.34,33.96,7.5
M16,Wet,25,32,6.5,132.7,4.9,2.12,1.57,2.04,0.51,3.77,5.49,0.75,1.84,3.96,26.19,4.5
M17,Wet,25,106,7.4,0,5.9,3.74,1.39,11.62,2.38,5.46,42.47,0,3.35,7.16,84.85,34.83
M18,Wet,25,52,6.5,30.7,5.1,6.03,1.11,1.81,0.64,8.26,10.62,0,1.59,3.32,36.79,8.71
M19,Wet,25,59,6.5,232.6,4.5,6.47,1.37,2.58,0.69,8.7,10.62,0,1.36,3.76,39.94,8.71
