StationID,dry season mineral weathering,dry season biomass degradation,wet season mineral weathering,wet season biomass degradation
M01,15.17,27.35,79.3,100
M02,15.34,12.65,135.4,98
M03,10.33,10.02,895.2,885.3
M04,0.15,100,370.2,316.4
M05,10.48,10.02,1671.4,6286.5
M06,1.37,10.08,154.4,115.1
M07,1.67,10,163.7,100
M08,85.34,118.99,410.44,603.06
M09,183.2,255.42,881.06,1294.54
M10,0.63,9.92,270.6,108.7
M11,15,10,646.5,612.6
M12,17.82,10.62,166.4,99.6
M13,497.4,483.74,183.6,109.6
M14,-,-,-,-
M15,23.42,25.3,333.6,182.9
M16,16.59,10.37,193.3,115
M17,-,-,-,-
M18,14,11.78,142,100
M19,21.98,18.33,808.2,687.2
Total,81.17,50.66,668.4,579.9
